"accession"	"genbank_accession"	"strain"	"date"	"region"	"host"	"clade"
"MK783030"	"?"	"?"	"2017-09-30"	"Europe"	"Homo sapiens"	"hMPXV-1"
"MK783032"	"?"	"?"	"2017-09-XX"	"Europe"	"Homo sapiens"	"hMPXV-1"
